CustomerID,Cluster
C0001,1
C0002,3
C0003,2
C0004,0
C0005,1
C0006,1
C0007,1
C0008,2
C0009,3
C0010,3
C0011,1
C0012,2
C0013,0
C0014,2
C0015,1
C0016,3
C0017,0
C0018,0
C0019,1
C0020,1
C0021,0
C0022,3
C0023,0
C0024,1
C0025,2
C0026,1
C0027,1
C0028,0
C0029,3
C0030,3
C0031,2
C0032,1
C0033,3
C0034,3
C0035,1
C0036,1
C0037,2
C0038,2
C0039,0
C0040,3
C0041,0
C0042,3
C0043,1
C0044,1
C0045,0
C0046,0
C0047,1
C0048,1
C0049,3
C0050,1
C0051,0
C0052,2
C0053,3
C0054,0
C0055,1
C0056,3
C0057,0
C0058,3
C0059,0
C0060,2
C0061,3
C0062,3
C0063,1
C0064,1
C0065,0
C0066,1
C0067,3
C0068,0
C0069,1
C0070,1
C0071,1
C0072,1
C0073,1
C0074,1
C0075,0
C0076,2
C0077,3
C0078,1
C0079,2
C0080,2
C0081,1
C0082,0
C0083,3
C0084,0
C0085,1
C0086,2
C0087,0
C0088,3
C0089,2
C0090,0
C0091,0
C0092,3
C0093,3
C0094,1
C0095,1
C0096,0
C0097,2
C0098,3
C0099,0
C0100,2
C0101,0
C0102,0
C0103,3
C0104,0
C0105,0
C0106,3
C0107,3
C0108,3
C0109,0
C0110,2
C0111,3
C0112,1
C0113,2
C0114,0
C0115,1
C0116,1
C0117,1
C0118,1
C0119,1
C0120,1
C0121,1
C0122,0
C0123,1
C0124,2
C0125,1
C0126,0
C0127,1
C0128,2
C0129,3
C0130,1
C0131,1
C0132,1
C0133,3
C0134,3
C0135,1
C0136,2
C0137,1
C0138,2
C0139,1
C0140,1
C0141,0
C0142,1
C0143,0
C0144,3
C0145,3
C0146,1
C0147,1
C0148,0
C0149,3
C0150,3
C0151,2
C0152,2
C0153,0
C0154,1
C0155,0
C0156,0
C0157,1
C0158,2
C0159,2
C0160,2
C0161,1
C0162,0
C0163,2
C0164,2
C0165,0
C0166,2
C0167,1
C0168,0
C0169,0
C0170,2
C0171,0
C0172,2
C0173,0
C0174,1
C0175,0
C0176,3
C0177,1
C0178,2
C0179,2
C0181,1
C0182,2
C0183,3
C0184,1
C0185,1
C0186,1
C0187,1
C0188,0
C0189,2
C0190,1
C0191,1
C0192,1
C0193,1
C0194,1
C0195,2
C0196,2
C0197,1
C0198,3
C0199,1
C0200,3
